Concentration [µg/mL];Replicate;Absorbance;Method;Operator;Date
125;11;0,328999996;singlepipette;S1;08/10/2025
25;11;0,134200007;singlepipette;S1;08/10/2025
0;11;0,087099999;singlepipette;S1;08/10/2025
2000;12;2,711899996;singlepipette;S1;08/10/2025
1500;12;2,253799915;singlepipette;S1;08/10/2025
1000;12;1,540899992;singlepipette;S1;08/10/2025
750;12;0,900399983;singlepipette;S1;08/10/2025
500;12;0,667699993;singlepipette;S1;08/10/2025
250;12;0,451799989;singlepipette;S1;08/10/2025
125;12;0,328700006;singlepipette;S1;08/10/2025
25;12;0,139500007;singlepipette;S1;08/10/2025
0;12;0,088699996;singlepipette;S1;08/10/2025
2000;13;2,934099913;singlepipette;S1;08/10/2025
1500;13;2,066600084;singlepipette;S1;08/10/2025
1000;13;1,614599943;singlepipette;S1;08/10/2025
750;13;0,887000024;singlepipette;S1;08/10/2025
500;13;0,660899997;singlepipette;S1;08/10/2025
250;13;0,474400014;singlepipette;S1;08/10/2025
125;13;0,3301;singlepipette;S1;08/10/2025
25;13;0,135000005;singlepipette;S1;08/10/2025
0;13;0,0876;singlepipette;S1;08/10/2025
2000;14;2,768300056;singlepipette;S1;08/10/2025
1500;14;2,194099903;singlepipette;S1;08/10/2025
1000;14;1,569100022;singlepipette;S1;08/10/2025
750;14;0,920599997;singlepipette;S1;08/10/2025
500;14;0,665400028;singlepipette;S1;08/10/2025
250;14;0,710900009;singlepipette;S1;08/10/2025
125;14;0,336100012;singlepipette;S1;08/10/2025
25;14;0,135600001;singlepipette;S1;08/10/2025
0;14;0,0876;singlepipette;S1;08/10/2025
2000;7;2,738100052;singlepipette;S2;08/10/2025
1500;7;2,456599951;singlepipette;S2;08/10/2025
1000;7;1,987699986;singlepipette;S2;08/10/2025
750;7;1,171800017;singlepipette;S2;08/10/2025
500;7;1,161599994;singlepipette;S2;08/10/2025
250;7;0,693799973;singlepipette;S2;08/10/2025
125;7;0,453399986;singlepipette;S2;08/10/2025
25;7;0,204600006;singlepipette;S2;08/10/2025
0;7;0,144099995;singlepipette;S2;08/10/2025
2000;8;2,719500065;singlepipette;S2;08/10/2025
1500;8;2,50909996;singlepipette;S2;08/10/2025
1000;8;1,713199973;singlepipette;S2;08/10/2025
750;8;1,18719995;singlepipette;S2;08/10/2025
500;8;1,189100027;singlepipette;S2;08/10/2025
250;8;0,656700015;singlepipette;S2;08/10/2025
125;8;0,4208;singlepipette;S2;08/10/2025
25;8;0,1998;singlepipette;S2;08/10/2025
0;8;0,142900005;singlepipette;S2;08/10/2025
2000;9;2,788899899;singlepipette;S2;08/10/2025
1500;9;2,233200073;singlepipette;S2;08/10/2025
1000;9;1,939499974;singlepipette;S2;08/10/2025
750;9;1,213999987;singlepipette;S2;08/10/2025
500;9;1,093299985;singlepipette;S2;08/10/2025
250;9;0,691299975;singlepipette;S2;08/10/2025
125;9;0,465000004;singlepipette;S2;08/10/2025
25;9;0,196199998;singlepipette;S2;08/10/2025
0;9;0,144400001;singlepipette;S2;08/10/2025
2000;10;3,016400099;singlepipette;S2;08/10/2025
1500;10;2,142999887;singlepipette;S2;08/10/2025
1000;10;0,807200015;singlepipette;S2;08/10/2025
750;10;1,188199997;singlepipette;S2;08/10/2025
500;10;1,177099943;singlepipette;S2;08/10/2025
250;10;0,722100019;singlepipette;S2;08/10/2025
125;10;0,450500011;singlepipette;S2;08/10/2025
25;10;0,203700006;singlepipette;S2;08/10/2025
0;10;0,140400007;singlepipette;S2;08/10/2025
2000;11;2,559200048;singlepipette;S2;08/10/2025
1500;11;1,947999954;singlepipette;S2;08/10/2025
1000;11;0,767799973;singlepipette;S2;08/10/2025
750;11;1,188599944;singlepipette;S2;08/10/2025
500;11;0,947300017;singlepipette;S2;08/10/2025
250;11;0,707300007;singlepipette;S2;08/10/2025
125;11;0,446999997;singlepipette;S2;08/10/2025
25;11;0,202500001;singlepipette;S2;08/10/2025
0;11;0,144099995;singlepipette;S2;08/10/2025
2000;12;2,922399998;singlepipette;S2;08/10/2025
1500;12;2,008599997;singlepipette;S2;08/10/2025
1000;12;0,649999976;singlepipette;S2;08/10/2025
750;12;1,210500002;singlepipette;S2;08/10/2025
500;12;1,104400039;singlepipette;S2;08/10/2025
250;12;0,646700025;singlepipette;S2;08/10/2025
