Concentration [µg/mL];Replicate;Absorbance;Method;Operator;Date
0;21;0,093900003;singlepipette;OT-2;21/10/2025
2000;22;1,971600056;singlepipette;OT-2;21/10/2025
1500;22;1,6796;singlepipette;OT-2;21/10/2025
1000;22;1,067000031;singlepipette;OT-2;21/10/2025
750;22;0,971000016;singlepipette;OT-2;21/10/2025
500;22;0,681999981;singlepipette;OT-2;21/10/2025
250;22;0,407000005;singlepipette;OT-2;21/10/2025
125;22;0,263099998;singlepipette;OT-2;21/10/2025
25;22;0,118500002;singlepipette;OT-2;21/10/2025
0;22;0,093900003;singlepipette;OT-2;21/10/2025
2000;23;1,813899994;singlepipette;OT-2;21/10/2025
1500;23;1,394799948;singlepipette;OT-2;21/10/2025
1000;23;1,002699971;singlepipette;OT-2;21/10/2025
750;23;0,934300005;singlepipette;OT-2;21/10/2025
500;23;0,618799984;singlepipette;OT-2;21/10/2025
250;23;0,426899999;singlepipette;OT-2;21/10/2025
125;23;0,253800005;singlepipette;OT-2;21/10/2025
25;23;0,118000001;singlepipette;OT-2;21/10/2025
0;23;0,092900001;singlepipette;OT-2;21/10/2025
2000;24;1,685400009;singlepipette;OT-2;21/10/2025
1500;24;1,437999964;singlepipette;OT-2;21/10/2025
1000;24;0,969399989;singlepipette;OT-2;21/10/2025
750;24;0,952400029;singlepipette;OT-2;21/10/2025
500;24;0,619000018;singlepipette;OT-2;21/10/2025
250;24;0,388399988;singlepipette;OT-2;21/10/2025
125;24;0,25150001;singlepipette;OT-2;21/10/2025
25;24;0,114600003;singlepipette;OT-2;21/10/2025
0;24;0,091700003;singlepipette;OT-2;21/10/2025
2000;1;2,7483;multipipette;EX1;22/10/2025
1500;1;2,1259;multipipette;EX1;22/10/2025
1000;1;1,6643;multipipette;EX1;22/10/2025
750;1;1,3274;multipipette;EX1;22/10/2025
500;1;0,9851;multipipette;EX1;22/10/2025
250;1;0,5964;multipipette;EX1;22/10/2025
125;1;0,3454;multipipette;EX1;22/10/2025
25;1;0,1402;multipipette;EX1;22/10/2025
0;1;0,0906;multipipette;EX1;22/10/2025
2000;2;2,8938;multipipette;EX1;22/10/2025
1500;2;2,2078;multipipette;EX1;22/10/2025
1000;2;1,6973;multipipette;EX1;22/10/2025
750;2;1,3535;multipipette;EX1;22/10/2025
500;2;1,0378;multipipette;EX1;22/10/2025
250;2;0,584;multipipette;EX1;22/10/2025
125;2;0,3621;multipipette;EX1;22/10/2025
25;2;0,1396;multipipette;EX1;22/10/2025
0;2;0,0935;multipipette;EX1;22/10/2025
2000;3;2,8486;multipipette;EX1;22/10/2025
1500;3;2,2312;multipipette;EX1;22/10/2025
1000;3;1,7699;multipipette;EX1;22/10/2025
750;3;1,4173;multipipette;EX1;22/10/2025
500;3;1,0042;multipipette;EX1;22/10/2025
250;3;0,6145;multipipette;EX1;22/10/2025
125;3;0,3657;multipipette;EX1;22/10/2025
25;3;0,1401;multipipette;EX1;22/10/2025
0;3;0,0931;multipipette;EX1;22/10/2025
2000;4;2,8746;multipipette;EX1;22/10/2025
1500;4;2,2649;multipipette;EX1;22/10/2025
1000;4;1,7582;multipipette;EX1;22/10/2025
750;4;1,3417;multipipette;EX1;22/10/2025
500;4;1,0259;multipipette;EX1;22/10/2025
250;4;0,6058;multipipette;EX1;22/10/2025
125;4;0,3614;multipipette;EX1;22/10/2025
25;4;0,1388;multipipette;EX1;22/10/2025
0;4;0,0906;multipipette;EX1;22/10/2025
2000;5;2,816;multipipette;EX1;22/10/2025
1500;5;2,2808;multipipette;EX1;22/10/2025
1000;5;1,7388;multipipette;EX1;22/10/2025
750;5;1,368;multipipette;EX1;22/10/2025
500;5;1,0171;multipipette;EX1;22/10/2025
250;5;0,605;multipipette;EX1;22/10/2025
125;5;0,3658;multipipette;EX1;22/10/2025
25;5;0,1412;multipipette;EX1;22/10/2025
0;5;0,096;multipipette;EX1;22/10/2025
2000;6;2,9248;multipipette;EX1;22/10/2025
1500;6;2,2822;multipipette;EX1;22/10/2025
1000;6;1,7217;multipipette;EX1;22/10/2025
750;6;1,3056;multipipette;EX1;22/10/2025
500;6;1,0249;multipipette;EX1;22/10/2025
250;6;0,5966;multipipette;EX1;22/10/2025
125;6;0,3663;multipipette;EX1;22/10/2025
25;6;0,1532;multipipette;EX1;22/10/2025
0;6;0,0921;multipipette;EX1;22/10/2025
2000;7;2,9296;multipipette;EX1;22/10/2025
1500;7;2,2807;multipipette;EX1;22/10/2025
1000;7;1,7279;multipipette;EX1;22/10/2025
750;7;1,3176;multipipette;EX1;22/10/2025
500;7;1,0019;multipipette;EX1;22/10/2025
250;7;0,5932;multipipette;EX1;22/10/2025
125;7;0,3611;multipipette;EX1;22/10/2025
25;7;0,1423;multipipette;EX1;22/10/2025
0;7;0,0911;multipipette;EX1;22/10/2025
2000;8;2,9275;multipipette;EX1;22/10/2025
1500;8;2,3533;multipipette;EX1;22/10/2025
1000;8;1,7193;multipipette;EX1;22/10/2025
750;8;1,3993;multipipette;EX1;22/10/2025
500;8;1,0403;multipipette;EX1;22/10/2025
250;8;0,6166;multipipette;EX1;22/10/2025
125;8;0,3956;multipipette;EX1;22/10/2025
25;8;0,1399;multipipette;EX1;22/10/2025
0;8;0,0914;multipipette;EX1;22/10/2025
2000;1;2,7138;singlepipette;EX1;22/10/2025
1500;1;2,1265;singlepipette;EX1;22/10/2025
1000;1;1,61;singlepipette;EX1;22/10/2025
750;1;1,3;singlepipette;EX1;22/10/2025
500;1;0,9395;singlepipette;EX1;22/10/2025
250;1;0,5242;singlepipette;EX1;22/10/2025
125;1;0,3247;singlepipette;EX1;22/10/2025
25;1;0,139;singlepipette;EX1;22/10/2025
0;1;0,0887;singlepipette;EX1;22/10/2025
2000;2;2,8612;singlepipette;EX1;22/10/2025
1500;2;2,2682;singlepipette;EX1;22/10/2025
1000;2;1,692;singlepipette;EX1;22/10/2025
750;2;1,2873;singlepipette;EX1;22/10/2025
500;2;0,9624;singlepipette;EX1;22/10/2025
250;2;0,5467;singlepipette;EX1;22/10/2025
125;2;0,3347;singlepipette;EX1;22/10/2025
25;2;0,1366;singlepipette;EX1;22/10/2025
0;2;0,0883;singlepipette;EX1;22/10/2025
2000;3;2,9093;singlepipette;EX1;22/10/2025
1500;3;2,2907;singlepipette;EX1;22/10/2025
1000;3;1,6357;singlepipette;EX1;22/10/2025
750;3;1,3022;singlepipette;EX1;22/10/2025
500;3;0,9919;singlepipette;EX1;22/10/2025
250;3;0,586;singlepipette;EX1;22/10/2025
125;3;0,3415;singlepipette;EX1;22/10/2025
25;3;0,1357;singlepipette;EX1;22/10/2025
0;3;0,0929;singlepipette;EX1;22/10/2025
2000;4;2,7598;singlepipette;EX1;22/10/2025
1500;4;2,2419;singlepipette;EX1;22/10/2025
1000;4;1,7091;singlepipette;EX1;22/10/2025
750;4;1,2832;singlepipette;EX1;22/10/2025
500;4;1,0049;singlepipette;EX1;22/10/2025
250;4;0,5565;singlepipette;EX1;22/10/2025
125;4;0,3688;singlepipette;EX1;22/10/2025
25;4;0,1357;singlepipette;EX1;22/10/2025
0;4;0,0914;singlepipette;EX1;22/10/2025
2000;5;2,9031;singlepipette;EX1;22/10/2025
1500;5;2,31;singlepipette;EX1;22/10/2025
1000;5;1,6766;singlepipette;EX1;22/10/2025
750;5;1,3406;singlepipette;EX1;22/10/2025
500;5;0,9536;singlepipette;EX1;22/10/2025
250;5;0,5552;singlepipette;EX1;22/10/2025
125;5;0,3404;singlepipette;EX1;22/10/2025
25;5;0,1359;singlepipette;EX1;22/10/2025
0;5;0,0898;singlepipette;EX1;22/10/2025
2000;6;2,8945;singlepipette;EX1;22/10/2025
1500;6;2,2726;singlepipette;EX1;22/10/2025
1000;6;1,7115;singlepipette;EX1;22/10/2025
750;6;1,3125;singlepipette;EX1;22/10/2025
500;6;0,9489;singlepipette;EX1;22/10/2025
250;6;0,581;singlepipette;EX1;22/10/2025
125;6;0,3541;singlepipette;EX1;22/10/2025
25;6;0,1368;singlepipette;EX1;22/10/2025
0;6;0,0886;singlepipette;EX1;22/10/2025
2000;7;2,8638;singlepipette;EX1;22/10/2025
1500;7;2,3592;singlepipette;EX1;22/10/2025
1000;7;1,7025;singlepipette;EX1;22/10/2025
750;7;1,2882;singlepipette;EX1;22/10/2025
500;7;0,929;singlepipette;EX1;22/10/2025
250;7;0,5579;singlepipette;EX1;22/10/2025
125;7;0,335;singlepipette;EX1;22/10/2025
25;7;0,1389;singlepipette;EX1;22/10/2025
0;7;0,0897;singlepipette;EX1;22/10/2025
2000;8;2,8386;singlepipette;EX1;22/10/2025
1500;8;2,2902;singlepipette;EX1;22/10/2025
1000;8;1,7168;singlepipette;EX1;22/10/2025
750;8;1,3322;singlepipette;EX1;22/10/2025
500;8;0,9665;singlepipette;EX1;22/10/2025
250;8;0,5774;singlepipette;EX1;22/10/2025
125;8;0,3393;singlepipette;EX1;22/10/2025
25;8;0,137;singlepipette;EX1;22/10/2025
0;8;0,0896;singlepipette;EX1;22/10/2025
2000;1;2,3952;multipipette;EX2;22/10/2025
1500;1;2,0251;multipipette;EX2;22/10/2025
1000;1;1,4591;multipipette;EX2;22/10/2025
750;1;1,1462;multipipette;EX2;22/10/2025
500;1;0,8133;multipipette;EX2;22/10/2025
250;1;0,4617;multipipette;EX2;22/10/2025
125;1;0,2926;multipipette;EX2;22/10/2025
25;1;0,1235;multipipette;EX2;22/10/2025
0;1;0,0872;multipipette;EX2;22/10/2025
2000;2;2,3199;multipipette;EX2;22/10/2025
1500;2;1,9679;multipipette;EX2;22/10/2025
1000;2;1,4823;multipipette;EX2;22/10/2025
750;2;1,1878;multipipette;EX2;22/10/2025
500;2;0,8349;multipipette;EX2;22/10/2025
250;2;0,4559;multipipette;EX2;22/10/2025
125;2;0,2929;multipipette;EX2;22/10/2025
25;2;0,1242;multipipette;EX2;22/10/2025
0;2;0,0876;multipipette;EX2;22/10/2025
2000;3;2,4155;multipipette;EX2;22/10/2025
1500;3;2,0724;multipipette;EX2;22/10/2025
1000;3;1,4259;multipipette;EX2;22/10/2025
750;3;1,1402;multipipette;EX2;22/10/2025
500;3;0,8637;multipipette;EX2;22/10/2025
250;3;0,481;multipipette;EX2;22/10/2025
125;3;0,3038;multipipette;EX2;22/10/2025
25;3;0,1227;multipipette;EX2;22/10/2025
0;3;0,0875;multipipette;EX2;22/10/2025
2000;4;2,3333;multipipette;EX2;22/10/2025
1500;4;1,9638;multipipette;EX2;22/10/2025
1000;4;1,4459;multipipette;EX2;22/10/2025
750;4;1,1246;multipipette;EX2;22/10/2025
500;4;0,8022;multipipette;EX2;22/10/2025
250;4;0,4501;multipipette;EX2;22/10/2025
125;4;0,3075;multipipette;EX2;22/10/2025
25;4;0,1225;multipipette;EX2;22/10/2025
0;4;0,0902;multipipette;EX2;22/10/2025
2000;5;2,5208;multipipette;EX2;22/10/2025
1500;5;1,9826;multipipette;EX2;22/10/2025
1000;5;1,4715;multipipette;EX2;22/10/2025
750;5;1,1457;multipipette;EX2;22/10/2025
500;5;0,83;multipipette;EX2;22/10/2025
250;5;0,4802;multipipette;EX2;22/10/2025
125;5;0,3104;multipipette;EX2;22/10/2025
25;5;0,1196;multipipette;EX2;22/10/2025
0;5;0,0893;multipipette;EX2;22/10/2025
2000;6;2,4948;multipipette;EX2;22/10/2025
1500;6;2,0686;multipipette;EX2;22/10/2025
1000;6;1,4626;multipipette;EX2;22/10/2025
750;6;1,1434;multipipette;EX2;22/10/2025
500;6;0,8166;multipipette;EX2;22/10/2025
250;6;0,4746;multipipette;EX2;22/10/2025
125;6;0,3108;multipipette;EX2;22/10/2025
25;6;0,1227;multipipette;EX2;22/10/2025
0;6;0,0895;multipipette;EX2;22/10/2025
2000;7;2,6008;multipipette;EX2;22/10/2025
1500;7;2,0566;multipipette;EX2;22/10/2025
1000;7;1,5324;multipipette;EX2;22/10/2025
750;7;1,1675;multipipette;EX2;22/10/2025
500;7;0,8596;multipipette;EX2;22/10/2025
250;7;0,4979;multipipette;EX2;22/10/2025
125;7;0,3191;multipipette;EX2;22/10/2025
25;7;0,123;multipipette;EX2;22/10/2025
0;7;0,0889;multipipette;EX2;22/10/2025
2000;8;2,5384;multipipette;EX2;22/10/2025
1500;8;2,1685;multipipette;EX2;22/10/2025
1000;8;1,5262;multipipette;EX2;22/10/2025
750;8;1,1967;multipipette;EX2;22/10/2025
500;8;0,8579;multipipette;EX2;22/10/2025
250;8;0,4838;multipipette;EX2;22/10/2025
125;8;0,3203;multipipette;EX2;22/10/2025
25;8;0,1255;multipipette;EX2;22/10/2025
0;8;0,088;multipipette;EX2;22/10/2025
2000;1;2,7076;singlepipette;EX2;22/10/2025
1500;1;2,1337;singlepipette;EX2;22/10/2025
1000;1;1,6197;singlepipette;EX2;22/10/2025
750;1;1,2577;singlepipette;EX2;22/10/2025
500;1;0,9189;singlepipette;EX2;22/10/2025
250;1;0,5469;singlepipette;EX2;22/10/2025
125;1;0,3242;singlepipette;EX2;22/10/2025
25;1;0,133;singlepipette;EX2;22/10/2025
0;1;0,0884;singlepipette;EX2;22/10/2025
2000;2;2,7841;singlepipette;EX2;22/10/2025
1500;2;2,2896;singlepipette;EX2;22/10/2025
1000;2;1,6366;singlepipette;EX2;22/10/2025
750;2;1,3197;singlepipette;EX2;22/10/2025
500;2;0,9542;singlepipette;EX2;22/10/2025
250;2;0,5619;singlepipette;EX2;22/10/2025
125;2;0,3363;singlepipette;EX2;22/10/2025
25;2;0,1368;singlepipette;EX2;22/10/2025
0;2;0,0886;singlepipette;EX2;22/10/2025
2000;3;2,8438;singlepipette;EX2;22/10/2025
1500;3;2,2188;singlepipette;EX2;22/10/2025
1000;3;1,6099;singlepipette;EX2;22/10/2025
750;3;1,3198;singlepipette;EX2;22/10/2025
500;3;0,9592;singlepipette;EX2;22/10/2025
250;3;0,55;singlepipette;EX2;22/10/2025
125;3;0,333;singlepipette;EX2;22/10/2025
25;3;0,1316;singlepipette;EX2;22/10/2025
0;3;0,0879;singlepipette;EX2;22/10/2025
2000;4;2,8049;singlepipette;EX2;22/10/2025
1500;4;2,2123;singlepipette;EX2;22/10/2025
1000;4;1,6375;singlepipette;EX2;22/10/2025
750;4;1,2867;singlepipette;EX2;22/10/2025
500;4;0,9251;singlepipette;EX2;22/10/2025
250;4;0,5508;singlepipette;EX2;22/10/2025
125;4;0,3403;singlepipette;EX2;22/10/2025
25;4;0,1314;singlepipette;EX2;22/10/2025
0;4;0,0885;singlepipette;EX2;22/10/2025
2000;5;2,8927;singlepipette;EX2;22/10/2025
1500;5;2,2404;singlepipette;EX2;22/10/2025
1000;5;1,6514;singlepipette;EX2;22/10/2025
750;5;1,2974;singlepipette;EX2;22/10/2025
500;5;0,9323;singlepipette;EX2;22/10/2025
250;5;0,5551;singlepipette;EX2;22/10/2025
125;5;0,3301;singlepipette;EX2;22/10/2025
25;5;0,1324;singlepipette;EX2;22/10/2025
0;5;0,0896;singlepipette;EX2;22/10/2025
2000;6;2,7056;singlepipette;EX2;22/10/2025
1500;6;2,2047;singlepipette;EX2;22/10/2025
1000;6;1,5912;singlepipette;EX2;22/10/2025
750;6;1,287;singlepipette;EX2;22/10/2025
500;6;0,9098;singlepipette;EX2;22/10/2025
250;6;0,5585;singlepipette;EX2;22/10/2025
125;6;0,3571;singlepipette;EX2;22/10/2025
25;6;0,1345;singlepipette;EX2;22/10/2025
0;6;0,0887;singlepipette;EX2;22/10/2025
2000;7;2,7965;singlepipette;EX2;22/10/2025
1500;7;2,2185;singlepipette;EX2;22/10/2025
1000;7;1,6496;singlepipette;EX2;22/10/2025
750;7;1,2892;singlepipette;EX2;22/10/2025
500;7;0,9335;singlepipette;EX2;22/10/2025
250;7;0,549;singlepipette;EX2;22/10/2025
125;7;0,3305;singlepipette;EX2;22/10/2025
25;7;0,1313;singlepipette;EX2;22/10/2025
0;7;0,0883;singlepipette;EX2;22/10/2025
2000;8;2,8549;singlepipette;EX2;22/10/2025
1500;8;2,251;singlepipette;EX2;22/10/2025
1000;8;1,622;singlepipette;EX2;22/10/2025
750;8;1,3064;singlepipette;EX2;22/10/2025
500;8;0,9405;singlepipette;EX2;22/10/2025
250;8;0,5486;singlepipette;EX2;22/10/2025
125;8;0,3329;singlepipette;EX2;22/10/2025
25;8;0,1313;singlepipette;EX2;22/10/2025
0;8;0,0885;singlepipette;EX2;22/10/2025
2000;9;1,9312;multipipette;OT-2;23/10/2025
1500;9;1,5127;multipipette;OT-2;23/10/2025
1000;9;1,0158;multipipette;OT-2;23/10/2025
750;9;0,8318;multipipette;OT-2;23/10/2025
500;9;0,4429;multipipette;OT-2;23/10/2025
250;9;0,3174;multipipette;OT-2;23/10/2025
125;9;0,2283;multipipette;OT-2;23/10/2025
25;9;0,1167;multipipette;OT-2;23/10/2025
0;9;0,0884;multipipette;OT-2;23/10/2025
2000;10;1,8948;multipipette;OT-2;23/10/2025
1500;10;1,4436;multipipette;OT-2;23/10/2025
1000;10;1,022;multipipette;OT-2;23/10/2025
750;10;0,812;multipipette;OT-2;23/10/2025
500;10;0,5151;multipipette;OT-2;23/10/2025
250;10;0,3379;multipipette;OT-2;23/10/2025
125;10;0,2299;multipipette;OT-2;23/10/2025
25;10;0,1126;multipipette;OT-2;23/10/2025
0;10;0,087;multipipette;OT-2;23/10/2025
2000;11;1,971;multipipette;OT-2;23/10/2025
1500;11;1,4939;multipipette;OT-2;23/10/2025
1000;11;1,0408;multipipette;OT-2;23/10/2025
750;11;0,7955;multipipette;OT-2;23/10/2025
500;11;0,4978;multipipette;OT-2;23/10/2025
250;11;0,3036;multipipette;OT-2;23/10/2025
125;11;0,2318;multipipette;OT-2;23/10/2025
25;11;0,1102;multipipette;OT-2;23/10/2025
0;11;0,0872;multipipette;OT-2;23/10/2025
2000;12;1,8063;multipipette;OT-2;23/10/2025
1500;12;1,3971;multipipette;OT-2;23/10/2025
1000;12;1,0508;multipipette;OT-2;23/10/2025
750;12;0,7985;multipipette;OT-2;23/10/2025
500;12;0,491;multipipette;OT-2;23/10/2025
250;12;0,3228;multipipette;OT-2;23/10/2025
125;12;0,2301;multipipette;OT-2;23/10/2025
25;12;0,1115;multipipette;OT-2;23/10/2025
0;12;0,0865;multipipette;OT-2;23/10/2025
2000;13;1,8719;multipipette;OT-2;23/10/2025
1500;13;1,3866;multipipette;OT-2;23/10/2025
1000;13;1,0009;multipipette;OT-2;23/10/2025
750;13;0,7963;multipipette;OT-2;23/10/2025
500;13;0,4388;multipipette;OT-2;23/10/2025
250;13;0,325;multipipette;OT-2;23/10/2025
125;13;0,2212;multipipette;OT-2;23/10/2025
25;13;0,1124;multipipette;OT-2;23/10/2025
0;13;0,0876;multipipette;OT-2;23/10/2025
2000;14;1,794;multipipette;OT-2;23/10/2025
1500;14;1,3029;multipipette;OT-2;23/10/2025
1000;14;0,9716;multipipette;OT-2;23/10/2025
750;14;0,8341;multipipette;OT-2;23/10/2025
500;14;0,4314;multipipette;OT-2;23/10/2025
250;14;0,3019;multipipette;OT-2;23/10/2025
125;14;0,2322;multipipette;OT-2;23/10/2025
25;14;0,1123;multipipette;OT-2;23/10/2025
0;14;0,0892;multipipette;OT-2;23/10/2025
2000;15;1,8686;multipipette;OT-2;23/10/2025
1500;15;1,4862;multipipette;OT-2;23/10/2025
1000;15;1,0076;multipipette;OT-2;23/10/2025
750;15;0,8523;multipipette;OT-2;23/10/2025
500;15;0,434;multipipette;OT-2;23/10/2025
250;15;0,292;multipipette;OT-2;23/10/2025
125;15;0,2379;multipipette;OT-2;23/10/2025
25;15;0,1139;multipipette;OT-2;23/10/2025
0;15;0,0876;multipipette;OT-2;23/10/2025
2000;16;1,9514;multipipette;OT-2;23/10/2025
1500;16;1,4803;multipipette;OT-2;23/10/2025
1000;16;1,0415;multipipette;OT-2;23/10/2025
750;16;0,8452;multipipette;OT-2;23/10/2025
500;16;0,4403;multipipette;OT-2;23/10/2025
250;16;0,3027;multipipette;OT-2;23/10/2025
125;16;0,235;multipipette;OT-2;23/10/2025
25;16;0,113;multipipette;OT-2;23/10/2025
0;16;0,0896;multipipette;OT-2;23/10/2025
2000;17;1,7171;multipipette;OT-2;23/10/2025
1500;17;1,3135;multipipette;OT-2;23/10/2025
1000;17;0,9414;multipipette;OT-2;23/10/2025
750;17;0,8414;multipipette;OT-2;23/10/2025
500;17;0,5636;multipipette;OT-2;23/10/2025
250;17;0,3253;multipipette;OT-2;23/10/2025
125;17;0,2128;multipipette;OT-2;23/10/2025
25;17;0,1076;multipipette;OT-2;23/10/2025
0;17;0,0851;multipipette;OT-2;23/10/2025
2000;18;1,7947;multipipette;OT-2;23/10/2025
1500;18;1,3354;multipipette;OT-2;23/10/2025
1000;18;0,9737;multipipette;OT-2;23/10/2025
750;18;0,7642;multipipette;OT-2;23/10/2025
500;18;0,5411;multipipette;OT-2;23/10/2025
250;18;0,33;multipipette;OT-2;23/10/2025
125;18;0,2072;multipipette;OT-2;23/10/2025
25;18;0,1061;multipipette;OT-2;23/10/2025
0;18;0,0848;multipipette;OT-2;23/10/2025
2000;19;1,5705;multipipette;OT-2;23/10/2025
1500;19;1,3062;multipipette;OT-2;23/10/2025
1000;19;0,9299;multipipette;OT-2;23/10/2025
750;19;0,7516;multipipette;OT-2;23/10/2025
500;19;0,5413;multipipette;OT-2;23/10/2025
250;19;0,3191;multipipette;OT-2;23/10/2025
125;19;0,2113;multipipette;OT-2;23/10/2025
25;19;0,1053;multipipette;OT-2;23/10/2025
0;19;0,0849;multipipette;OT-2;23/10/2025
2000;20;1,6856;multipipette;OT-2;23/10/2025
1500;20;1,2807;multipipette;OT-2;23/10/2025
1000;20;0,9677;multipipette;OT-2;23/10/2025
750;20;0,8133;multipipette;OT-2;23/10/2025
500;20;0,5368;multipipette;OT-2;23/10/2025
250;20;0,3088;multipipette;OT-2;23/10/2025
125;20;0,2027;multipipette;OT-2;23/10/2025
25;20;0,1061;multipipette;OT-2;23/10/2025
0;20;0,0846;multipipette;OT-2;23/10/2025
2000;21;1,5801;multipipette;OT-2;23/10/2025
1500;21;1,3011;multipipette;OT-2;23/10/2025
1000;21;0,9155;multipipette;OT-2;23/10/2025
750;21;0,7543;multipipette;OT-2;23/10/2025
500;21;0,5319;multipipette;OT-2;23/10/2025
250;21;0,2965;multipipette;OT-2;23/10/2025
125;21;0,2037;multipipette;OT-2;23/10/2025
25;21;0,1067;multipipette;OT-2;23/10/2025
0;21;0,0851;multipipette;OT-2;23/10/2025
2000;22;1,5829;multipipette;OT-2;23/10/2025
1500;22;1,2775;multipipette;OT-2;23/10/2025
1000;22;0,949;multipipette;OT-2;23/10/2025
750;22;0,7463;multipipette;OT-2;23/10/2025
500;22;0,5286;multipipette;OT-2;23/10/2025
250;22;0,3184;multipipette;OT-2;23/10/2025
125;22;0,2114;multipipette;OT-2;23/10/2025
25;22;0,1043;multipipette;OT-2;23/10/2025
0;22;0,0861;multipipette;OT-2;23/10/2025
2000;23;1,5843;multipipette;OT-2;23/10/2025
1500;23;1,2238;multipipette;OT-2;23/10/2025
1000;23;0,9348;multipipette;OT-2;23/10/2025
750;23;0,7217;multipipette;OT-2;23/10/2025
500;23;0,4983;multipipette;OT-2;23/10/2025
250;23;0,3154;multipipette;OT-2;23/10/2025
125;23;0,2139;multipipette;OT-2;23/10/2025
25;23;0,1041;multipipette;OT-2;23/10/2025
0;23;0,0856;multipipette;OT-2;23/10/2025
2000;24;1,5532;multipipette;OT-2;23/10/2025
1500;24;1,2688;multipipette;OT-2;23/10/2025
1000;24;0,9116;multipipette;OT-2;23/10/2025
750;24;0,7938;multipipette;OT-2;23/10/2025
500;24;0,5124;multipipette;OT-2;23/10/2025
250;24;0,3224;multipipette;OT-2;23/10/2025
125;24;0,2091;multipipette;OT-2;23/10/2025
25;24;0,1079;multipipette;OT-2;23/10/2025
0;24;0,0868;multipipette;OT-2;23/10/2025
2000;1;2,8111;singlepipette;S3;09/02/2026
1500;1;2,1431;singlepipette;S3;09/02/2026
1000;1;1,5705;singlepipette;S3;09/02/2026
750;1;1,2632;singlepipette;S3;09/02/2026
500;1;0,8907;singlepipette;S3;09/02/2026
250;1;0,5492;singlepipette;S3;09/02/2026
125;1;0,3111;singlepipette;S3;09/02/2026
25;1;0,1304;singlepipette;S3;09/02/2026
0;1;0,0883;singlepipette;S3;09/02/2026
2000;2;2,7044;singlepipette;S3;09/02/2026
1500;2;2,2006;singlepipette;S3;09/02/2026
1000;2;1,6926;singlepipette;S3;09/02/2026
750;2;1,2843;singlepipette;S3;09/02/2026
500;2;0,8679;singlepipette;S3;09/02/2026
250;2;0,5364;singlepipette;S3;09/02/2026
125;2;0,335;singlepipette;S3;09/02/2026
25;2;0,1327;singlepipette;S3;09/02/2026
0;2;0,0888;singlepipette;S3;09/02/2026
2000;3;2,796;singlepipette;S3;09/02/2026
1500;3;2,1693;singlepipette;S3;09/02/2026
1000;3;1,5824;singlepipette;S3;09/02/2026
750;3;1,2754;singlepipette;S3;09/02/2026
500;3;0,9545;singlepipette;S3;09/02/2026
250;3;0,5375;singlepipette;S3;09/02/2026
125;3;0,3315;singlepipette;S3;09/02/2026
25;3;0,1303;singlepipette;S3;09/02/2026
0;3;0,0924;singlepipette;S3;09/02/2026
2000;4;2,7095;singlepipette;S3;09/02/2026
1500;4;2,2176;singlepipette;S3;09/02/2026
1000;4;1,6393;singlepipette;S3;09/02/2026
750;4;1,235;singlepipette;S3;09/02/2026
500;4;0,9231;singlepipette;S3;09/02/2026
250;4;0,499;singlepipette;S3;09/02/2026
125;4;0,3159;singlepipette;S3;09/02/2026
25;4;0,1337;singlepipette;S3;09/02/2026
0;4;0,0891;singlepipette;S3;09/02/2026
2000;5;2,7308;singlepipette;S3;09/02/2026
1500;5;2,2715;singlepipette;S3;09/02/2026
1000;5;1,56;singlepipette;S3;09/02/2026
750;5;1,2147;singlepipette;S3;09/02/2026
500;5;0,9257;singlepipette;S3;09/02/2026
250;5;0,5422;singlepipette;S3;09/02/2026
125;5;0,3247;singlepipette;S3;09/02/2026
25;5;0,1356;singlepipette;S3;09/02/2026
0;5;0,0916;singlepipette;S3;09/02/2026
2000;6;2,6357;singlepipette;S3;09/02/2026
1500;6;2,1485;singlepipette;S3;09/02/2026
1000;6;1,6375;singlepipette;S3;09/02/2026
750;6;1,2655;singlepipette;S3;09/02/2026
500;6;0,9178;singlepipette;S3;09/02/2026
250;6;0,5399;singlepipette;S3;09/02/2026
125;6;0,3942;singlepipette;S3;09/02/2026
25;6;0,1323;singlepipette;S3;09/02/2026
0;6;0,0898;singlepipette;S3;09/02/2026
2000;7;2,933;singlepipette;S3;09/02/2026
1500;7;2,2463;singlepipette;S3;09/02/2026
1000;7;1,6349;singlepipette;S3;09/02/2026
750;7;1,2788;singlepipette;S3;09/02/2026
500;7;0,762;singlepipette;S3;09/02/2026
250;7;0,5211;singlepipette;S3;09/02/2026
125;7;0,3064;singlepipette;S3;09/02/2026
25;7;0,1403;singlepipette;S3;09/02/2026
0;7;0,0901;singlepipette;S3;09/02/2026
2000;8;2,7757;singlepipette;S3;09/02/2026
1500;8;2,2399;singlepipette;S3;09/02/2026
1000;8;1,6009;singlepipette;S3;09/02/2026
750;8;1,2612;singlepipette;S3;09/02/2026
500;8;0,8773;singlepipette;S3;09/02/2026
250;8;0,5235;singlepipette;S3;09/02/2026
125;8;0,319;singlepipette;S3;09/02/2026
25;8;0,1325;singlepipette;S3;09/02/2026
0;8;0,0886;singlepipette;S3;09/02/2026
2000;9;2,9444;singlepipette;S3;09/02/2026
1500;9;2,1375;singlepipette;S3;09/02/2026
1000;9;1,5874;singlepipette;S3;09/02/2026
750;9;1,3122;singlepipette;S3;09/02/2026
500;9;0,9104;singlepipette;S3;09/02/2026
250;9;0,532;singlepipette;S3;09/02/2026
